,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
143,AAON,2017-05-16,36.6,36.8,36.2,36.65,107911.0,0.0,1.0,36.468672371,36.6679547336,36.0701076456,36.5184929616,107911.0
144,AAON,2017-05-17,35.95,36.55,35.45,35.45,196295.0,0.0,1.0,35.8210046922,36.4188517803,35.3227987855,35.3227987855,196295.0
145,AAON,2017-05-18,35.5,36.0,35.3,35.5,127711.0,0.0,1.0,35.3726193762,35.8708252829,35.1733370135,35.3726193762,127711.0
146,AAON,2017-05-19,35.55,36.95,35.55,36.65,193155.0,0.0,1.0,35.4224399669,36.8174165057,35.4224399669,36.5184929616,193155.0
147,AAON,2017-05-22,36.85,37.0,36.35,36.8,92713.0,0.0,1.0,36.7177753243,36.8672370963,36.2195694176,36.6679547336,92713.0
148,AAON,2017-05-23,36.95,36.95,36.25,36.65,109743.0,0.0,1.0,36.8174165057,36.8174165057,36.1199282363,36.5184929616,109743.0
149,AAON,2017-05-24,36.75,37.05,36.25,36.9,118827.0,0.0,1.0,36.618134143,36.917057687,36.1199282363,36.767595915,118827.0
150,AAON,2017-05-25,37.05,37.05,36.25,36.45,81702.0,0.0,1.0,36.917057687,36.917057687,36.1199282363,36.319210599,81702.0
151,AAON,2017-05-26,36.3,36.75,36.25,36.55,82540.0,0.0,1.0,36.1697488269,36.618134143,36.1199282363,36.4188517803,82540.0
152,AAON,2017-05-30,36.4,36.55,36.0,36.15,81472.0,0.0,1.0,36.2693900083,36.4188517803,35.8708252829,36.0202870549,81472.0
153,AAON,2017-05-31,36.3,36.35,35.75,36.175,167147.0,0.0,1.0,36.1697488269,36.2195694176,35.6217223296,36.0451973503,167147.0
154,AAP,2017-05-01,143.15,143.15,140.36,140.53,920961.0,0.0,1.0,142.986946229,142.986946229,140.200124155,140.369930517,920961.0
155,AAP,2017-05-02,140.44,142.67,139.87,142.55,805531.0,0.0,1.0,140.280033031,142.507492969,139.710682285,142.387629654,805531.0
156,AAP,2017-05-03,142.49,143.43,141.96,142.82,543407.0,0.0,1.0,142.327697996,143.266627298,141.798301688,142.657322113,543407.0
157,AAP,2017-05-04,142.71,144.95,142.71,144.81,595927.0,0.0,1.0,142.547447407,144.784895955,142.547447407,144.64505542,595927.0
158,AAP,2017-05-05,144.98,145.02,143.6,144.98,616449.0,0.0,1.0,144.814861783,144.854816222,143.436433661,144.814861783,616449.0
159,AAP,2017-05-08,145.17,147.06,144.76,146.97,838238.0,0.0,1.0,145.004645366,146.892492577,144.595112373,146.802595091,838238.0
160,AAP,2017-05-09,146.81,147.11,144.79,146.12,807816.0,0.0,1.0,146.642777338,146.942435625,144.625078201,145.953563276,807816.0
161,AAP,2017-05-10,145.83,146.26,145.15,146.16,381450.0,0.0,1.0,145.663893598,146.093403811,144.984668146,145.993517715,381450.0
162,AAP,2017-05-11,145.49,146.165,143.0275,145.95,769727.0,0.0,1.0,145.324280872,145.998512019,142.864585762,145.783756913,769727.0
163,AAP,2017-05-12,145.76,145.76,144.39,145.02,590381.0,0.0,1.0,145.593973331,145.593973331,144.225533818,144.854816222,590381.0
164,AAP,2017-05-15,144.66,147.154,144.49,145.85,1097666.0,0.0,1.0,144.495226277,146.986385508,144.325419914,145.683870817,1097666.0
165,AAP,2017-05-16,146.65,146.65,142.11,145.25,2319848.0,0.0,1.0,146.482959584,146.482959584,141.948130832,145.084554242,2319848.0
166,AAP,2017-05-17,143.71,145.13,142.8902,144.56,1205568.0,0.0,1.0,143.546308366,144.964690927,142.727442152,144.395340181,1205568.0
167,AAP,2017-05-18,144.73,149.1609,144.52,148.51,1519988.0,0.0,1.0,144.565146544,148.990999565,144.355385742,148.340840967,1519988.0
168,AAP,2017-05-19,148.85,151.72,147.91,151.47,1611881.0,0.0,1.0,148.680453693,151.547184645,147.741524392,151.297469405,1611881.0
